,service,instance,anomaly_type,st_time,ed_time,data_type
0,MG,MG01,[MEMORY],1614789240,1614789540,train
1,MG,MG02,[JVM;CPU],1614792360,1614792660,train
2,Mysql,Mysql02,[MEMORY],1614797100,1614797400,train
3,Tomcat,Tomcat02,[JVM;MEMORY],1614798240,1614798540,train
4,Redis,Redis02,[MEMORY],1614807060,1614807360,train
5,Tomcat,Tomcat01,[JVM;MEMORY],1614808020,1614808320,train
6,MG,MG02,[JVM;MEMORY],1614810000,1614810300,train
7,Redis,Redis02,[CPU],1614812340,1614812640,train
8,Tomcat,Tomcat01,[JVM;MEMORY],1614815220,1614815520,train
9,MG,MG02,[CPU],1614818340,1614818640,train
10,Mysql,Mysql01,[NETWORK],1614823500,1614823800,train
11,IG,IG01,[MEMORY],1614825000,1614825300,train
12,apache,apache01,[MEMORY],1614829800,1614830100,train
13,MG,MG01,[MEMORY],1614834720,1614835020,train
14,MG,MG02,[JVM;CPU],1614836760,1614837060,train
15,Mysql,Mysql02,[MEMORY],1614841020,1614841320,train
16,Redis,Redis02,[MEMORY],1614852540,1614852840,train
17,Tomcat,Tomcat02,[NETWORK],1614856920,1614857220,train
18,MG,MG02,[JVM;MEMORY],1614857760,1614858060,train
19,Redis,Redis02,[CPU],1614860040,1614860340,train
20,MG,MG01,[NETWORK],1614861840,1614862140,train
21,IG,IG01,[JVM;CPU],1614863160,1614863460,train
22,MG,MG01,[JVM;MEMORY],1614866400,1614866700,train
23,IG,IG01,[JVM;MEMORY],1614867900,1614868200,train
24,Tomcat,Tomcat04,[NETWORK],1614963180,1614963480,train
25,Mysql,Mysql01,[CPU],1614967200,1614967500,train
26,IG,IG01,[CPU],1614972960,1614973260,train
27,Tomcat,Tomcat02,[JVM;CPU],1614979860,1614980160,train
28,Tomcat,Tomcat01,[MEMORY],1614982800,1614983100,train
29,Tomcat,Tomcat02,[JVM;CPU],1614988680,1614988980,train
30,Tomcat,Tomcat03,[NETWORK],1615013160,1615013460,train
31,Tomcat,Tomcat02,[JVM;MEMORY],1615026480,1615026780,train
32,apache,apache02,[NETWORK],1615027920,1615028220,train
33,Tomcat,Tomcat04,[CPU],1615034640,1615034940,train
34,Tomcat,Tomcat01,[NETWORK],1615043880,1615044180,train
35,MG,MG01,[NETWORK],1615044960,1615045260,train
