,experiment type,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,remove none,0.4782608695652174,0.782608695652174,0.782608695652174,0.8695652173913043,0.9130434782608695,0.43478260869565216,0.4782608695652174,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.710144927536232,0.5652173913043478,0.6273291925465838,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.2666666666666667,0.225,0.24285714285714288
1,[CPU],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.5,0.5,0.5,0.25,0.5,0.3333333333333333
2,[JVM;CPU],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,[JVM;MEMORY],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,[MEMORY],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,[NETWORK],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444445,0.8333333333333334,0.7575757575757575,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5,0.45454545454545453
6,remove log,0.5217391304347826,0.7391304347826086,0.8260869565217391,0.9130434782608695,1.0,0.4782608695652174,0.4782608695652174,0.6521739130434783,0.6521739130434783,0.6956521739130435,0.8405797101449275,0.6086956521739131,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.26666666666666666,0.2333333333333333,0.24000000000000005
7,remove metric,0.34782608695652173,0.4782608695652174,0.6956521739130435,0.7391304347826086,0.9130434782608695,0.17391304347826086,0.21739130434782608,0.34782608695652173,0.34782608695652173,0.4782608695652174,0.5217391304347826,0.391304347826087,0.4472049689440994,0.391304347826087,0.391304347826087,0.391304347826087,0.15,0.1125,0.1285714285714286
8,remove trace,0.5652173913043478,0.8260869565217391,0.9565217391304348,0.9565217391304348,1.0,0.43478260869565216,0.5217391304347826,0.6956521739130435,0.782608695652174,0.8695652173913043,0.6992753623188406,0.5652173913043478,0.6250464511334076,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.25,0.2038095238095238,0.22450142450142446
9,"remove log,metric",0.5217391304347826,0.6521739130434783,0.782608695652174,0.8695652173913043,0.9565217391304348,0.30434782608695654,0.4782608695652174,0.5217391304347826,0.5652173913043478,0.6956521739130435,0.3804347826086957,0.30434782608695654,0.3381642512077295,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.11666666666666667,0.09333333333333334,0.10370370370370371
10,"remove log,trace",0.6521739130434783,0.8695652173913043,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.5217391304347826,0.6086956521739131,0.782608695652174,0.8260869565217391,0.8695652173913043,0.644927536231884,0.5217391304347826,0.5767372723894464,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.23333333333333334,0.19047619047619047,0.20968660968660968
11,"remove metric,trace",0.21739130434782608,0.5652173913043478,0.782608695652174,0.8695652173913043,0.9565217391304348,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.391304347826087,0.43478260869565216,0.717391304347826,0.4782608695652174,0.5739130434782609,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.18333333333333332,0.12222222222222223,0.14666666666666667
