,experiment type,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,remove none,0.5963791267305645,0.7795527156549521,0.8977635782747604,0.9563365282215123,1.0,0.34824281150159747,0.5963791267305645,0.7028753993610224,0.7795527156549521,0.8551650692225772,0.817565384483741,0.7891373801916933,0.7894765036839485,0.7891373801916933,0.7891373801916933,0.7891373801916932,0.44096739583546896,0.5111483955261983,0.4629856730091076
1,[access permission denied exception],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,[file moving program],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308641975308642,0.5555555555555556,0.39682539682539686,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715
3,[login failure],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350060067504434,0.7314410480349345,0.617989283963942,0.7314410480349345,0.7314410480349345,0.7314410480349345,0.36572052401746724,0.5,0.4224464060529634
4,[memory_anomalies],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842430955057418,0.9178403755868545,0.8785204084564507,0.9178403755868545,0.9178403755868545,0.9178403755868545,0.45892018779342725,0.5,0.4785801713586291
5,[normal memory freed label],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,remove log,0.5452609158679447,0.7731629392971247,0.8796592119275826,0.9542066027689031,1.0,0.33120340788072417,0.5452609158679447,0.6954206602768903,0.7731629392971247,0.8370607028753994,0.7543835565464089,0.6496272630457934,0.6666088684167076,0.6496272630457934,0.6496272630457934,0.6496272630457934,0.28607358203889355,0.2983626409258705,0.27528796406845185
7,remove metric,0.5708200212992546,0.7007454739084132,0.8189563365282215,0.9073482428115016,1.0,0.32055378061767836,0.5708200212992546,0.6400425985090522,0.7007454739084132,0.7635782747603834,0.8533793456966997,0.825346112886049,0.8368287806144613,0.825346112886049,0.825346112886049,0.8253461128860491,0.5374623285564918,0.5243501970306095,0.5298372739356346
8,remove trace,0.5953141640042598,0.751863684771033,0.8519701810436635,0.9318423855165069,1.0,0.3184238551650692,0.5953141640042598,0.6826411075612353,0.751863684771033,0.8136315228966986,0.7977145157027705,0.7763578274760383,0.7861705541883406,0.7763578274760383,0.7763578274760383,0.7763578274760382,0.44845498675377515,0.44465257745240266,0.4461589629181194
9,"remove log,metric",0.5207667731629393,0.6570820021299254,0.7710330138445154,0.8945686900958466,1.0,0.4014909478168264,0.5207667731629393,0.6070287539936102,0.6570820021299254,0.7145899893503728,0.6506167432126291,0.6389776357827476,0.6345844274612333,0.6389776357827476,0.6389776357827476,0.6389776357827476,0.32508946611904976,0.29663421654451616,0.29691941231148844
10,"remove log,trace",0.6070287539936102,0.8168264110756124,0.9201277955271565,0.9818956336528222,1.0,0.34824281150159747,0.6070287539936102,0.7252396166134185,0.8168264110756124,0.8807241746538871,0.6586874784467454,0.5963791267305645,0.6077017361354659,0.5963791267305645,0.5963791267305645,0.5963791267305645,0.26289462474344694,0.2664701208294537,0.2556240263167887
11,"remove metric,trace",0.577209797657082,0.6858359957401491,0.7891373801916933,0.8935037273695421,1.0,0.2939297124600639,0.577209797657082,0.6230031948881789,0.6858359957401491,0.739084132055378,0.8811011920259647,0.8285410010649628,0.8427245770317664,0.8285410010649628,0.8285410010649628,0.8285410010649628,0.5310471920964571,0.5321014745152677,0.5265100773771294
