,experiment type,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,remove none,0.4375,0.59375,0.65625,0.75,0.8125,0.4375,0.59375,0.65625,0.75,0.8125,0.38697916666666665,0.28125,0.31652097902097903,0.28125,0.28125,0.28125,0.28809523809523807,0.24336734693877551,0.25294705294705294
1,[cpu_anomaly],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.25
2,[http/grpc_request_abscence],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.5,0.5,0.5,0.25,0.5,0.3333333333333333
3,[http/grpc_request_delay],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.25
4,[memory_overload],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.6,0.4499999999999999,0.6,0.6,0.6,0.3,0.5,0.37499999999999994
5,[network_delay],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.25,0.25,0.25,0.125,0.5,0.2
6,[network_loss],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,[pod_anomaly],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,remove log,0.375,0.59375,0.6875,0.71875,0.78125,0.375,0.59375,0.6875,0.71875,0.78125,0.36979166666666663,0.25,0.2856206293706294,0.25,0.25,0.25,0.26666666666666666,0.19693877551020408,0.2178821178821179
9,remove metric,0.375,0.5625,0.65625,0.75,0.75,0.375,0.5625,0.65625,0.75,0.75,0.4765625,0.34375,0.3636904761904762,0.34375,0.34375,0.34375,0.3285714285714286,0.338961038961039,0.30142238713667285
10,remove trace,0.375,0.5625,0.71875,0.78125,0.875,0.375,0.5625,0.71875,0.78125,0.875,0.6666666666666666,0.25,0.3494318181818181,0.25,0.25,0.25,0.2380952380952381,0.1114045618247299,0.14285714285714285
11,"remove log,metric",0.3125,0.4375,0.65625,0.6875,0.75,0.3125,0.4375,0.65625,0.6875,0.75,0.5260416666666667,0.28125,0.3405315170940171,0.28125,0.28125,0.28125,0.2619047619047619,0.19474969474969475,0.2003052503052503
12,"remove log,trace",0.34375,0.625,0.78125,0.8125,0.875,0.34375,0.625,0.78125,0.8125,0.875,0.2359375,0.15625,0.18382352941176472,0.15625,0.15625,0.15625,0.1357142857142857,0.10324675324675324,0.11391223155929038
13,"remove metric,trace",0.0625,0.5,0.625,0.71875,0.71875,0.0625,0.5,0.625,0.71875,0.71875,0.6208333333333333,0.3125,0.34981060606060604,0.3125,0.3125,0.3125,0.31428571428571433,0.42296918767507,0.2887445887445888
