,experiment type,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,remove none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421875,0.375,0.35700169395821574,0.375,0.375,0.375,0.375,0.5333333333333333,0.3929983060417843
1,[cpu_load],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.375,0.20454545454545453,0.375,0.375,0.375,0.1875,0.5,0.2727272727272727
2,[network_delay],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.25,0.25,0.25,0.125,0.5,0.2
3,[network_loss],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.5,0.5,0.5,0.25,0.5,0.3333333333333333
4,remove log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458333333333334,0.5833333333333334,0.5745920745920746,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6761904761904761,0.592074592074592
5,remove metric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34375,0.25,0.28947368421052627,0.25,0.25,0.25,0.25,0.1818181818181818,0.21052631578947367
6,remove trace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4113756613756614,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4388888888888889,0.42195767195767203
7,"remove log,metric",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6927083333333334,0.375,0.4744444444444445,0.375,0.375,0.375,0.375,0.23249299719887953,0.27555555555555555
8,"remove log,trace",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479166666666667,0.4583333333333333,0.4499999999999999,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.48095238095238096,0.4666666666666666
9,"remove metric,trace",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265625,0.25,0.25555555555555554,0.25,0.25,0.25,0.25,0.2428571428571428,0.24444444444444438
