,Unnamed: 0,anomaly_type,起始crontab,截止crontab,st_time,ed_time,起始日期,截止日期,duration,instance,Unnamed: 0.1,service,data_type
0,49,[network_delay],3 16 20 3 3,30 16 20 3 3,1710950630.0,1710952230.0,2024-03-21 00:03:50,2024-03-21 00:30:30,1600,recommendationservice,,recommendationservice,train
1,50,[http/grpc_request_abscence],53 16 20 3 3,20 17 20 3 3,1710953630.0,1710955230.0,2024-03-21 00:53:50,2024-03-21 01:20:30,1600,cartservice,,cartservice,train
2,51,[cpu_anomaly],43 17 20 3 3,48 17 20 3 3,1710956630.0,1710956930.0,2024-03-21 01:43:50,2024-03-21 01:48:50,300,paymentservice,,paymentservice,train
3,52,[cpu_anomaly],8 18 20 3 3,10 18 20 3 3,1710958130.0,1710958250.0,2024-03-21 02:08:50,2024-03-21 02:10:50,120,shippingservice,,shippingservice,train
4,53,[network_loss],34 18 20 3 3,0 19 20 3 3,1710959650.0,1710961250.0,2024-03-21 02:34:10,2024-03-21 03:00:50,1600,emailservice,,emailservice,train
5,54,[pod_anomaly],24 19 20 3 3,28 19 20 3 3,1710962650.0,1710962890.0,2024-03-21 03:24:10,2024-03-21 03:28:10,240,recommendationservice,,recommendationservice,train
6,55,[network_delay],48 19 20 3 3,14 20 20 3 3,1710964090.0,1710965690.0,2024-03-21 03:48:10,2024-03-21 04:14:50,1600,cartservice,,cartservice,train
7,56,[pod_anomaly],34 20 20 3 3,39 20 20 3 3,1710966890.0,1710967190.0,2024-03-21 04:34:50,2024-03-21 04:39:50,300,checkoutservice,,checkoutservice,train
8,57,[network_loss],56 20 20 3 3,23 21 20 3 3,1710968190.0,1710969790.0,2024-03-21 04:56:30,2024-03-21 05:23:10,1600,checkoutservice,,checkoutservice,train
9,58,[cpu_anomaly],46 21 20 3 3,50 21 20 3 3,1710971190.0,1710971430.0,2024-03-21 05:46:30,2024-03-21 05:50:30,240,currencyservice,,currencyservice,train
10,59,[memory_overload],13 22 20 3 3,15 22 20 3 3,1710972830.0,1710972950.0,2024-03-21 06:13:50,2024-03-21 06:15:50,120,frontend,,frontend,train
11,60,[network_delay],35 22 20 3 3,2 23 20 3 3,1710974150.0,1710975750.0,2024-03-21 06:35:50,2024-03-21 07:02:30,1600,paymentservice,,paymentservice,train
12,61,[memory_overload],25 23 20 3 3,27 23 20 3 3,1710977150.0,1710977270.0,2024-03-21 07:25:50,2024-03-21 07:27:50,120,cartservice,,cartservice,train
13,62,[http/grpc_request_abscence],46 23 20 3 3,12 0 21 3 4,1710978370.0,1710979970.0,2024-03-21 07:46:10,2024-03-21 08:12:50,1600,productcatalogservice,,productcatalogservice,train
14,63,[network_delay],32 0 21 3 4,59 0 21 3 4,1710981170.0,1710982770.0,2024-03-21 08:32:50,2024-03-21 08:59:30,1600,shippingservice,,shippingservice,train
15,64,[network_loss],22 1 21 3 4,49 1 21 3 4,1710984170.0,1710985770.0,2024-03-21 09:22:50,2024-03-21 09:49:30,1600,shippingservice,,shippingservice,train
16,65,[cpu_anomaly],12 2 21 3 4,14 2 21 3 4,1710987170.0,1710987260.0,2024-03-21 10:12:50,2024-03-21 10:14:20,90,shippingservice,,shippingservice,train
17,66,[pod_anomaly],34 2 21 3 4,36 2 21 3 4,1710988460.0,1710988580.0,2024-03-21 10:34:20,2024-03-21 10:36:20,120,productcatalogservice,,productcatalogservice,train
18,67,[http/grpc_request_abscence],56 2 21 3 4,23 3 21 3 4,1710989780.0,1710991380.0,2024-03-21 10:56:20,2024-03-21 11:23:00,1600,currencyservice,,currencyservice,train
19,68,[http/grpc_request_abscence],43 3 21 3 4,9 4 21 3 4,1710992580.0,1710994180.0,2024-03-21 11:43:00,2024-03-21 12:09:40,1600,paymentservice,,paymentservice,train
20,69,[http/grpc_request_abscence],33 4 21 3 4,59 4 21 3 4,1710995580.0,1710997180.0,2024-03-21 12:33:00,2024-03-21 12:59:40,1600,frontend,,frontend,train
21,70,[pod_anomaly],19 5 21 3 4,21 5 21 3 4,1710998380.0,1710998500.0,2024-03-21 13:19:40,2024-03-21 13:21:40,120,paymentservice,,paymentservice,train
22,71,[http/grpc_request_abscence],40 5 21 3 4,6 6 21 3 4,1710999600.0,1711001200.0,2024-03-21 13:40:00,2024-03-21 14:06:40,1600,currencyservice,,currencyservice,train
23,72,[http/grpc_request_abscence],30 6 21 3 4,56 6 21 3 4,1711002600.0,1711004200.0,2024-03-21 14:30:00,2024-03-21 14:56:40,1600,recommendationservice,,recommendationservice,train
24,73,[cpu_anomaly],20 7 21 3 4,21 7 21 3 4,1711005600.0,1711005690.0,2024-03-21 15:20:00,2024-03-21 15:21:30,90,frontend,,frontend,train
25,74,[cpu_anomaly],41 7 21 3 4,46 7 21 3 4,1711006890.0,1711007190.0,2024-03-21 15:41:30,2024-03-21 15:46:30,300,cartservice,,cartservice,train
26,75,[memory_overload],6 8 21 3 4,11 8 21 3 4,1711008390.0,1711008690.0,2024-03-21 16:06:30,2024-03-21 16:11:30,300,recommendationservice,,recommendationservice,train
27,76,[network_delay],31 8 21 3 4,58 8 21 3 4,1711009890.0,1711011490.0,2024-03-21 16:31:30,2024-03-21 16:58:10,1600,productcatalogservice,,productcatalogservice,train
28,77,[network_delay],21 9 21 3 4,48 9 21 3 4,1711012890.0,1711014490.0,2024-03-21 17:21:30,2024-03-21 17:48:10,1600,shippingservice,,shippingservice,train
29,78,[http/grpc_request_delay],8 10 21 3 4,34 10 21 3 4,1711015690.0,1711017290.0,2024-03-21 18:08:10,2024-03-21 18:34:50,1600,shippingservice,,shippingservice,train
30,79,[memory_overload],58 10 21 3 4,0 11 21 3 4,1711018690.0,1711018810.0,2024-03-21 18:58:10,2024-03-21 19:00:10,120,cartservice,,cartservice,train
31,80,[network_loss],20 11 21 3 4,46 11 21 3 4,1711020010.0,1711021610.0,2024-03-21 19:20:10,2024-03-21 19:46:50,1600,productcatalogservice,,productcatalogservice,train
32,81,[memory_overload],10 12 21 3 4,15 12 21 3 4,1711023010.0,1711023310.0,2024-03-21 20:10:10,2024-03-21 20:15:10,300,currencyservice,,currencyservice,train
33,82,[cpu_anomaly],31 12 21 3 4,33 12 21 3 4,1711024310.0,1711024400.0,2024-03-21 20:31:50,2024-03-21 20:33:20,90,productcatalogservice,,productcatalogservice,train
34,83,[cpu_anomaly],56 12 21 3 4,1 13 21 3 4,1711025800.0,1711026100.0,2024-03-21 20:56:40,2024-03-21 21:01:40,300,currencyservice,,currencyservice,train
35,84,[pod_anomaly],21 13 21 3 4,23 13 21 3 4,1711027300.0,1711027390.0,2024-03-21 21:21:40,2024-03-21 21:23:10,90,shippingservice,,shippingservice,train
36,85,[cpu_anomaly],41 13 21 3 4,43 13 21 3 4,1711028490.0,1711028610.0,2024-03-21 21:41:30,2024-03-21 21:43:30,120,recommendationservice,,recommendationservice,train
37,86,[memory_overload],6 14 21 3 4,11 14 21 3 4,1711030010.0,1711030310.0,2024-03-21 22:06:50,2024-03-21 22:11:50,300,shippingservice,,shippingservice,train
38,87,[pod_anomaly],30 14 21 3 4,31 14 21 3 4,1711031410.0,1711031500.0,2024-03-21 22:30:10,2024-03-21 22:31:40,90,productcatalogservice,,productcatalogservice,train
39,88,[pod_anomaly],51 14 21 3 4,53 14 21 3 4,1711032700.0,1711032790.0,2024-03-21 22:51:40,2024-03-21 22:53:10,90,cartservice,,cartservice,train
40,89,[cpu_anomaly],11 15 21 3 4,13 15 21 3 4,1711033890.0,1711033980.0,2024-03-21 23:11:30,2024-03-21 23:13:00,90,cartservice,,cartservice,train
41,90,[pod_anomaly],33 15 21 3 4,34 15 21 3 4,1711035180.0,1711035270.0,2024-03-21 23:33:00,2024-03-21 23:34:30,90,cartservice,,cartservice,train
42,91,[memory_overload],51 15 21 3 4,56 15 21 3 4,1711036270.0,1711036570.0,2024-03-21 23:51:10,2024-03-21 23:56:10,300,cartservice,,cartservice,train
43,zht,[pod_anomaly],20 16 21 3 4,24 16 21 3 4,1711038000.0,1711038240.0,2024/3/22 0:20,2024/3/22 0:24,240,emailservice,0.0,emailservice,train
44,,[network_loss],39 16 21 3 4,5 17 21 3 4,1711039140.0,1711040740.0,2024/3/22 0:39,2024/3/22 1:05,1600,frontend,1.0,frontend,train
45,,[http/grpc_request_abscence],29 17 21 3 4,55 17 21 3 4,1711042140.0,1711043740.0,2024/3/22 1:29,2024/3/22 1:55,1600,frontend,2.0,frontend,train
46,,[pod_anomaly],19 18 21 3 4,20 18 21 3 4,1711045140.0,1711045230.0,2024/3/22 2:19,2024/3/22 2:20,90,paymentservice,3.0,paymentservice,train
47,,[pod_anomaly],38 18 21 3 4,40 18 21 3 4,1711046330.0,1711046420.0,2024/3/22 2:38,2024/3/22 2:40,90,paymentservice,4.0,paymentservice,train
48,,[network_loss],58 18 21 3 4,25 19 21 3 4,1711047520.0,1711049120.0,2024/3/22 2:58,2024/3/22 3:25,1600,frontend,5.0,frontend,train
49,,[network_loss],48 19 21 3 4,15 20 21 3 4,1711050520.0,1711052120.0,2024/3/22 3:48,2024/3/22 4:15,1600,frontend,6.0,frontend,train
50,,[network_loss],38 20 21 3 4,5 21 21 3 4,1711053520.0,1711055120.0,2024/3/22 4:38,2024/3/22 5:05,1600,frontend,7.0,frontend,train
51,,[memory_overload],25 21 21 3 4,29 21 21 3 4,1711056320.0,1711056560.0,2024/3/22 5:25,2024/3/22 5:29,240,productcatalogservice,8.0,productcatalogservice,train
52,,[pod_anomaly],46 21 21 3 4,47 21 21 3 4,1711057560.0,1711057650.0,2024/3/22 5:46,2024/3/22 5:47,90,currencyservice,9.0,currencyservice,train
53,,[pod_anomaly],2 22 21 3 4,4 22 21 3 4,1711058550.0,1711058670.0,2024/3/22 6:02,2024/3/22 6:04,120,currencyservice,10.0,currencyservice,train
54,,[cpu_anomaly],21 22 21 3 4,25 22 21 3 4,1711059670.0,1711059910.0,2024/3/22 6:21,2024/3/22 6:25,240,cartservice,11.0,cartservice,train
55,,[memory_overload],48 22 21 3 4,52 22 21 3 4,1711061310.0,1711061550.0,2024/3/22 6:48,2024/3/22 6:52,240,recommendationservice,12.0,recommendationservice,train
56,,[pod_anomaly],12 23 21 3 4,17 23 21 3 4,1711062750.0,1711063050.0,2024/3/22 7:12,2024/3/22 7:17,300,cartservice,13.0,cartservice,train
57,,[network_loss],32 23 21 3 4,59 23 21 3 4,1711063950.0,1711065550.0,2024/3/22 7:32,2024/3/22 7:59,1600,frontend,14.0,frontend,train
58,,[network_delay],22 0 22 3 5,49 0 22 3 5,1711066950.0,1711068550.0,2024/3/22 8:22,2024/3/22 8:49,1600,frontend,15.0,frontend,train
59,,[cpu_anomaly],9 1 22 3 5,10 1 22 3 5,1711069750.0,1711069840.0,2024/3/22 9:09,2024/3/22 9:10,90,cartservice,16.0,cartservice,train
